optimization_stamp,window_index,frame_stamp,jacobian_count,covariance_radius,alpha_weight,constraint_count,mean_beta_weight,mean_hybrid_weight,reference_radius,feature_source
1403638603.2778294,4,1403638602.6778295,55,0.0018759658272523624,1.066503254382219,55,2.7242424242424237,1.6260697279363203,0.0020007236598744761,0
1403638603.2778294,5,1403638602.7778294,58,0.0017717270417942166,1.1292505068096472,58,2.3936781609195403,1.5579045853459448,0.0020007236598744761,0
1403638603.2778294,6,1403638602.8778296,50,0.0018433747068381109,1.0853591797981548,50,2.0643333333333334,1.4573533260686917,0.0020007236598744761,0
1403638603.2778294,7,1403638602.9778295,51,0.0018869070483364578,1.0603191405948489,51,2.0852007469654525,1.4505557404184524,0.0020007236598744761,0
1403638603.2778294,8,1403638603.0778294,59,0.001673604424908906,1.1954579171140607,59,1.958857949959645,1.4414651165993868,0.0020007236598744761,0
1403638603.2778294,9,1403638603.1778295,54,0.0017737483718150856,1.1279636343384634,54,1.4166152263374483,1.2408740542734633,0.0020007236598744761,0
1403638603.2778294,10,1403638603.2778294,47,0.0019167336459715431,1.0438193455201548,47,1.1716396487673086,1.1248761394700788,0.0020007236598744761,0
1403638603.2778294,0,1403638602.2778294,0,-1,1,0,1,1,0.0020007236598744761,1
1403638603.2778294,1,1403638602.3778296,105,0.0016446532073119469,1.2165018442669124,105,3.1428571428571428,1.9337217774021149,0.0020007236598744761,1
1403638603.2778294,2,1403638602.4778295,81,0.0020618863455872916,0.97033653875068737,81,2.9876543209876543,1.7602555658468668,0.0020007236598744761,1
1403638603.2778294,3,1403638602.5778294,79,0.0017590495470747574,1.1373890310262238,79,2.8481012658227853,1.7472289531773406,0.0020007236598744761,1
1403638603.2778294,4,1403638602.6778295,83,0.002180124821262472,0.91771060095352341,83,2.6847389558232928,1.6246497099726771,0.0020007236598744761,1
1403638603.2778294,5,1403638602.7778294,81,0.0020162230152715212,0.99231267807199497,81,2.2637860082304533,1.4924401050964122,0.0020007236598744761,1
1403638603.2778294,6,1403638602.8778296,77,0.0018205571109852878,1.0989623164261417,77,2.1212121212121215,1.4719242734318243,0.0020007236598744761,1
1403638603.2778294,7,1403638602.9778295,76,0.0016902446654961658,1.1836887882069844,76,2.0969924812030065,1.4980494700780584,0.0020007236598744761,1
1403638603.2778294,8,1403638603.0778294,94,0.001446437962745624,1.3832073766072268,94,1.986600810536981,1.5391099077187507,0.0020007236598744761,1
1403638603.2778294,9,1403638603.1778295,76,0.0017466384019166599,1.1454710131639141,76,1.4197159565580619,1.2872951479698098,0.0020007236598744761,1
1403638603.2778294,10,1403638603.2778294,60,0.0020810341445747678,0.96140837721972983,60,1.1718386243386243,1.1470376232418831,0.0020007236598744761,1
1403638603.3778296,0,1403638602.3778296,0,-1,1,0,1,1,0.0019945759357697917,0
1403638603.3778296,1,1403638602.4778295,47,0.0022577230809480292,0.88344578332089307,47,3.4893617021276597,1.740257130663315,0.0019945759357697917,0
1403638603.3778296,2,1403638602.5778294,44,0.002191216536450618,0.91025962180837261,44,3.4772727272727271,1.7526221109290652,0.0019945759357697917,0
1403638603.3778296,3,1403638602.6778295,55,0.0018777691777807917,1.0622050672527525,55,3.0909090909090913,1.7250678068236147,0.0019945759357697917,0
1403638603.3778296,4,1403638602.7778294,58,0.0017729390391506925,1.1250110081197557,58,2.6091954022988504,1.6262250268064591,0.0019945759357697917,0
1403638603.3778296,5,1403638602.8778296,50,0.0018450484482868154,1.0810425805467694,50,2.2793333333333332,1.5305017171042501,0.0019945759357697917,0
1403638603.3778296,6,1403638602.9778295,51,0.0018884672376873017,1.0561877357281746,51,2.2437908496732031,1.5090305114175253,0.0019945759357697917,0
1403638603.3778296,7,1403638603.0778294,59,0.0016775311548138912,1.1889948690646368,59,2.1119047619047615,1.498628978330407,0.0019945759357697917,0
1403638603.3778296,8,1403638603.1778295,61,0.001647153079663581,1.2109232350020371,61,1.7742388758782202,1.3970427035328929,0.0019945759357697917,0
1403638603.3778296,9,1403638603.2778294,52,0.0018029518005305194,1.1062835596508387,52,1.3765109890109883,1.2350157939342823,0.0019945759357697917,0
1403638603.3778296,10,1403638603.3778296,45,0.0019353433347370714,1.0306057328276419,45,1.1572751322751327,1.1261369702501414,0.0019945759357697917,0
1403638603.3778296,0,1403638602.3778296,0,-1,1,0,1,1,0.0019945759357697917,1
1403638603.3778296,1,1403638602.4778295,81,0.0020644420555450621,0.96615738398294537,81,3.3333333333333335,1.7781742185852798,0.0019945759357697917,1
1403638603.3778296,2,1403638602.5778294,79,0.0017608657471492482,1.1327245924335279,79,3.1139240506329116,1.7942573351403803,0.0019945759357697917,1
1403638603.3778296,3,1403638602.6778295,83,0.0021840126228224515,0.91326209149476145,83,3.0120481927710845,1.6963180913060134,0.0019945759357697917,1
1403638603.3778296,4,1403638602.7778294,81,0.0020179375220517447,0.98842303786581054,81,2.4691358024691357,1.5414350315691587,0.0019945759357697917,1
1403638603.3778296,5,1403638602.8778296,77,0.0018237856724055298,1.0936460166062132,77,2.2900432900432905,1.5167170667855112,0.0019945759357697917,1
1403638603.3778296,6,1403638602.9778295,76,0.001697200009932402,1.175215604582299,76,2.2217105263157899,1.534849142570653,0.0019945759357697917,1
1403638603.3778296,7,1403638603.0778294,93,0.001463759956257417,1.3626386807776734,93,2.0777009728622633,1.5639911379009019,0.0019945759357697917,1
1403638603.3778296,8,1403638603.1778295,92,0.001528878478813177,1.3046007013704071,92,1.7586697722567293,1.4480906632660973,0.0019945759357697917,1
1403638603.3778296,9,1403638603.2778294,68,0.0018849942255248866,1.058133711372188,68,1.3490662931839406,1.2479956402273922,0.0019945759357697917,1
1403638603.3778296,10,1403638603.3778296,47,0.0022555892090135106,0.88428155614475834,47,1.1551249577845328,1.1303854546620005,0.0019945759357697917,1
1403638603.4778295,0,1403638602.4778295,0,-1,1,0,1,1,0.0019837226292842569,0
1403638603.4778295,1,1403638602.5778294,44,0.0022051785546468956,0.89957460592205907,44,3.75,1.8290819028633398,0.0019837226292842569,0
1403638603.4778295,2,1403638602.6778295,55,0.0018863134266642104,1.0516399879485068,55,3.3545454545454545,1.8080303760417347,0.0019837226292842569,0
1403638603.4778295,3,1403638602.7778294,58,0.0017747117138618921,1.117771756274456,58,2.9683908045977017,1.7394243844231172,0.0019837226292842569,0
1403638603.4778295,4,1403638602.8778296,50,0.001847466605908463,1.0737529019144527,50,2.5449999999999995,1.6231573603860343,0.0019837226292842569,0
1403638603.4778295,5,1403638602.9778295,51,0.0018905924210269561,1.0492598019655199,51,2.4313725490196085,1.5785477819996252,0.0019837226292842569,0
1403638603.4778295,6,1403638603.0778294,59,0.0016799744619197857,1.1808052290374484,59,2.2689265536723164,1.5568448042855469,0.0019837226292842569,0
1403638603.4778295,7,1403638603.1778295,59,0.0016847449854685622,1.1774616611976696,59,1.9063761097659402,1.4415620870674646,0.0019837226292842569,0
1403638603.4778295,8,1403638603.2778294,67,0.0015565443256079202,1.274440179215262,67,2.0543532338308461,1.523364100396907,0.0019837226292842569,0
1403638603.4778295,9,1403638603.3778296,59,0.0016470632672140096,1.2043997755105686,59,1.4558044121603442,1.3011879551827077,0.0019837226292842569,0
1403638603.4778295,10,1403638603.4778295,52,0.0017775098060590941,1.1160122000577628,52,1.1832493894993905,1.1689113784549616,0.0019837226292842569,0
1403638603.4778295,0,1403638602.4778295,0,-1,1,0,1,1,0.0019837226292842569,1
1403638603.4778295,1,1403638602.5778294,79,0.0017723587076095288,1.1192557244576102,79,3.3924050632911391,1.9302969768395979,0.0019837226292842569,1
1403638603.4778295,2,1403638602.6778295,83,0.0021983070166193474,0.90238652485170712,83,3.2590361445783134,1.7658231324876699,0.0019837226292842569,1
